,A,B,C,D,E
Direction_True,209.40630048465266,183.41235864297255,183.58892481810832,198.32659660468877,223.95636363636365
Wind_Speed,1.290306946688207,1.242124394184168,1.3714632174616006,1.5816491511721908,0.5962424242424242
Crosswind_Speed,0.9649434571890144,0.8356219709208401,0.9632983023443816,1.2105092966855295,0.4385050505050505
Headwind_Speed,0.16352988691437803,-0.12980613893376414,-0.2628940986257074,-0.3005658852061439,0.19494949494949496
Temperature,17.96910339256866,18.065428109854604,17.91313662085691,17.99636216653193,18.353939393939395
Globe_Temperature,21.544588045234246,21.799434571890146,21.587388843977365,21.359296685529507,21.176161616161615
Wind_Chill,17.838206785137317,17.945920840064623,17.77299919159256,17.835367825383994,18.2940202020202
Relative_Humidity,78.18477382875606,77.87831179321486,77.96285367825384,77.94203718674213,76.7930505050505
Heat_Stress_Index,17.899596122778675,18.00428109854604,17.82825383993533,17.92162489894907,18.286424242424246
Dew_Point,13.553877221324719,13.530856219709205,13.458124494745352,13.50860953920776,13.558787878787879
Psychro_Wet_Bulb_Temperature,15.270718901453955,15.295516962843294,15.196645109135003,15.26018593371059,15.406666666666666
Station_Pressure,1016.1682552504037,1016.6570274636512,1016.689329021827,1016.7280113177042,1016.1661010101009
Barometric_Pressure,1016.1284329563813,1016.6164781906298,1016.6518997574777,1016.6888843977364,1016.127797979798
Altitude,-25.98707592891761,-30.05815831987076,-30.338722716248988,-30.653193209377527,-25.96121212121212
Density_Altitude,137.31663974151857,135.58077544426493,129.62287793047696,132.41107518189168,150.84
NA_Wet_Bulb_Temperature,15.981542810985461,15.996809369951535,15.934236054971707,15.915642683912694,15.93688888888889
WBGT,17.25432148626817,17.321970920840062,17.22502021018593,17.1767987065481,17.185535353535354
TWL,301.39293214862676,299.45169628432956,301.8997574777688,305.254567502021,284.11531313131314
Direction_Mag,208.90508885298868,183.2172859450727,183.08367016976555,197.8261924009701,223.89656565656566
